timestep,episodes,mean_reward,mean_score,mean_stage,mean_length,q1_loss,q2_loss,policy_loss,alpha,entropy,eval_stage1_mean_stage,eval_stage1_mean_reward,eval_stage3_mean_stage,eval_stage3_mean_reward,eval_stage5_mean_stage,eval_stage5_mean_reward,eval_overall_mean_stage,eval_overall_mean_reward
121000,131,5135.496711219576,3187.8135532429424,1.4,945.69,246.13304679870606,256.84149032592774,-632.9377612304687,0.8461800217628479,0.5639898684620858,,,,,,,,
122000,132,5198.315208292746,3222.8026383094575,1.41,952.66,349.798971862793,363.75025901794436,-632.1613604736328,0.8639407753944397,0.5472996139526367,,,,,,,,
123000,132,5198.315208292746,3222.8026383094575,1.41,952.66,362.82357612609866,322.6490786743164,-628.2333288574218,0.8595447540283203,0.5501630473136901,,,,,,,,
124000,133,5256.93063853768,3255.526762175932,1.42,959.78,280.7652142333984,270.8995069885254,-631.2513763427735,0.8288014531135559,0.5497959020733834,,,,,,,,
125000,134,5311.568581305634,3285.8618887123675,1.43,966.64,252.4663493347168,258.85076553344726,-629.2377655029297,0.8307313323020935,0.5485237082839012,,,,,,,,
126000,136,5327.450662569708,3294.855348406917,1.43,970.08,345.751170501709,360.5510652923584,-622.4831658935547,0.8070114850997925,0.5518491294980049,,,,,,,,
127000,138,5292.778420122927,3275.8499971269944,1.43,963.76,299.3097456359863,299.17988342285156,-628.5929437255859,0.8179424405097961,0.5561702120304107,,,,,,,,
128000,139,5237.213062819894,3246.949913172265,1.42,955.58,251.53118675231934,256.3429245758057,-627.6790808105469,0.83672696352005,0.5530839055776596,,,,,,,,
129000,139,5237.213062819894,3246.949913172265,1.42,955.58,302.2233278656006,293.04109825134276,-621.3965570068359,0.8197391629219055,0.5598243761062622,,,,,,,,
130000,140,5155.4763788256705,3199.154414609424,1.41,945.95,247.51857025146484,244.02001846313476,-620.9967358398437,0.7997226715087891,0.5566955652832984,,,,,,,,
131000,141,5167.917161463512,3208.8783657458225,1.41,949.31,352.30148818969724,315.96936141967774,-622.7567401123047,0.8199992179870605,0.554853401184082,,,,,,,,
132000,143,5050.679631752077,3142.0253993402935,1.39,933.09,214.4105345916748,217.62726615905763,-617.8782690429688,0.8007408380508423,0.5460347843170166,,,,,,,,
133000,144,5053.478801571065,3143.6349484176844,1.39,932.99,273.566298828125,252.96833419799805,-622.8908843994141,0.8187569379806519,0.5584236794710159,,,,,,,,
134000,145,5054.6461275714355,3140.634971658722,1.39,933.2,255.67954277038575,240.8353719329834,-622.9846063232421,0.7996211051940918,0.5432502835988998,,,,,,,,
135000,147,5018.961100829547,3118.9182900184487,1.38,926.58,242.71394264221192,236.52294036865234,-621.262183227539,0.8173514604568481,0.5438124412298202,,,,,,,,
136000,148,5012.742831580007,3117.5311099245937,1.38,922.65,240.25619720458985,235.71728912353515,-618.7575323486328,0.8103580474853516,0.5458415764570236,,,,,,,,
137000,149,4985.411224084084,3101.3097636521456,1.37,919.28,304.45557762145995,305.7417887115478,-618.7187713623047,0.7808519601821899,0.5484636121988297,,,,,,,,
